1.000000	1999.000488	1999.000488
2.000000	1998.001465	1998.001465
3.000000	1997.002930	1997.002930
4.000000	1996.004883	1996.004883
5.000000	1995.007324	1995.007446
6.000000	1994.010254	1994.010376
7.000000	1993.013794	1993.013916
8.000000	1992.017822	1992.017822
9.000000	1991.022339	1991.022339
10.000000	1990.027344	1990.027344
11.000000	1989.032837	1989.032837
12.000000	1988.038818	1988.038818
13.000000	1987.045288	1987.045288
14.000000	1986.052246	1986.052246
15.000000	1985.059692	1985.059692
16.000000	1984.067627	1984.067749
17.000000	1983.076050	1983.076172
18.000000	1982.085083	1982.085205
19.000000	1981.094604	1981.094604
20.000000	1980.104614	1980.104614
21.000000	1979.115112	1979.115112
22.000000	1978.126099	1978.125977
23.000000	1977.137573	1977.137451
24.000000	1976.149536	1976.149414
25.000000	1975.161987	1975.161865
26.000000	1974.174927	1974.174805
27.000000	1973.188354	1973.188354
28.000000	1972.202271	1972.202271
29.000000	1971.216675	1971.216675
30.000000	1970.231567	1970.231567
31.000000	1969.246948	1969.247070
32.000000	1968.262817	1968.262939
33.000000	1967.279175	1967.279419
34.000000	1966.296143	1966.296265
35.000000	1965.313599	1965.313721
36.000000	1964.331543	1964.331543
37.000000	1963.349976	1963.349976
38.000000	1962.368896	1962.368896
39.000000	1961.388306	1961.388184
40.000000	1960.408203	1960.408081
41.000000	1959.428589	1959.428467
42.000000	1958.449463	1958.449341
43.000000	1957.470825	1957.470703
44.000000	1956.492676	1956.492554
45.000000	1955.515015	1955.514893
46.000000	1954.537842	1954.537598
47.000000	1953.561157	1953.560913
48.000000	1952.584961	1952.584717
49.000000	1951.609253	1951.609009
50.000000	1950.634033	1950.633789
51.000000	1949.659302	1949.659058
52.000000	1948.685059	1948.684814
53.000000	1947.711304	1947.711060
54.000000	1946.738037	1946.737793
55.000000	1945.765259	1945.765137
56.000000	1944.792969	1944.792847
57.000000	1943.821167	1943.821045
58.000000	1942.849854	1942.849731
59.000000	1941.879028	1941.878906
60.000000	1940.908691	1940.908569
61.000000	1939.938843	1939.938721
62.000000	1938.969482	1938.969360
63.000000	1938.000610	1938.000488
64.000000	1937.032227	1937.032104
65.000000	1936.064331	1936.064209
66.000000	1935.096924	1935.096802
67.000000	1934.130005	1934.129883
68.000000	1933.163574	1933.163452
69.000000	1932.197632	1932.197510
70.000000	1931.232178	1931.231934
71.000000	1930.267212	1930.266968
72.000000	1929.302734	1929.302490
73.000000	1928.338745	1928.338501
74.000000	1927.375244	1927.375000
75.000000	1926.412231	1926.411865
76.000000	1925.449707	1925.449341
77.000000	1924.487671	1924.487305
78.000000	1923.526123	1923.525635
79.000000	1922.565063	1922.564575
80.000000	1921.604492	1921.603882
81.000000	1920.644287	1920.643799
82.000000	1919.684570	1919.684082
83.000000	1918.725342	1918.724976
84.000000	1917.766602	1917.766235
85.000000	1916.808350	1916.807983
86.000000	1915.850586	1915.850220
87.000000	1914.893311	1914.892944
88.000000	1913.936523	1913.936279
89.000000	1912.980225	1912.979980
90.000000	1912.024414	1912.024170
91.000000	1911.069092	1911.068726
92.000000	1910.114258	1910.113892
93.000000	1909.159912	1909.159546
94.000000	1908.206055	1908.205688
95.000000	1907.252686	1907.252197
96.000000	1906.299805	1906.299316
97.000000	1905.347290	1905.346802
98.000000	1904.395264	1904.394897
99.000000	1903.443726	1903.443359
100.000000	1902.492676	1902.492310
101.000000	1901.542114	1901.541748
102.000000	1900.592041	1900.591675
103.000000	1899.642456	1899.642090
104.000000	1898.693359	1898.692993
105.000000	1897.744751	1897.744385
106.000000	1896.796631	1896.796143
107.000000	1895.848999	1895.848511
108.000000	1894.901733	1894.901245
109.000000	1893.954956	1893.954468
110.000000	1893.008667	1893.008301
111.000000	1892.062866	1892.062500
112.000000	1891.117554	1891.117188
113.000000	1890.172729	1890.172363
114.000000	1889.228394	1889.228027
115.000000	1888.284546	1888.284058
116.000000	1887.341187	1887.340698
117.000000	1886.398193	1886.397705
118.000000	1885.455688	1885.455322
119.000000	1884.513672	1884.513306
120.000000	1883.572144	1883.571777
121.000000	1882.631104	1882.630737
122.000000	1881.690552	1881.690186
123.000000	1880.750488	1880.750000
124.000000	1879.810913	1879.810425
125.000000	1878.871704	1878.871216
126.000000	1877.932983	1877.932617
127.000000	1876.994751	1876.994385
128.000000	1876.057007	1876.056641
129.000000	1875.119751	1875.119385
130.000000	1874.182983	1874.182495
131.000000	1873.246704	1873.246216
132.000000	1872.310791	1872.310303
133.000000	1871.375366	1871.375000
134.000000	1870.440430	1870.440063
135.000000	1869.505981	1869.505615
136.000000	1868.572021	1868.571655
137.000000	1867.638550	1867.638062
138.000000	1866.705566	1866.705078
139.000000	1865.772949	1865.772461
140.000000	1864.840820	1864.840332
141.000000	1863.909180	1863.908691
142.000000	1862.978027	1862.977539
143.000000	1862.047363	1862.046875
144.000000	1861.117188	1861.116577
145.000000	1860.187378	1860.186890
146.000000	1859.258057	1859.257568
147.000000	1858.329224	1858.328735
148.000000	1857.400879	1857.400391
149.000000	1856.473022	1856.472412
150.000000	1855.545532	1855.545044
151.000000	1854.618530	1854.618042
152.000000	1853.692017	1853.691528
153.000000	1852.765991	1852.765503
154.000000	1851.840454	1851.839966
155.000000	1850.915405	1850.914795
156.000000	1849.990723	1849.990234
157.000000	1849.066528	1849.066040
158.000000	1848.142822	1848.142334
159.000000	1847.219604	1847.218994
160.000000	1846.296875	1846.296265
161.000000	1845.374512	1845.373901
162.000000	1844.452637	1844.452026
163.000000	1843.531250	1843.530640
164.000000	1842.610352	1842.609741
