1.000000	49.276566	-442779104.000000	-0.000085
1.100000	0.060286	49.276566	24.668427
1.200000	0.051011	0.060286	0.055649
1.300000	0.043724	0.051011	0.047368
1.400000	0.037894	0.043724	0.040809
1.500000	0.033157	0.037894	0.035526
1.600000	0.029256	0.033157	0.031207
1.700000	0.026006	0.029256	0.027631
1.800000	0.023268	0.026006	0.024637
1.900000	0.020941	0.023268	0.022105
2.000000	0.018947	0.020941	0.019944
2.100000	0.017225	0.018947	0.018086
2.200000	0.015727	0.017225	0.016476
2.300000	0.014416	0.015727	0.015071
2.400000	0.013263	0.014416	0.013840
2.500000	0.012243	0.013263	0.012753
2.600000	0.011336	0.012243	0.011789
2.700000	0.010526	0.011336	0.010931
2.800000	0.009800	0.010526	0.010163
2.900000	0.009147	0.009800	0.009474
3.000000	0.008557	0.009147	0.008852
3.100000	0.008022	0.008557	0.008289
3.200000	0.007536	0.008022	0.007779
3.300000	0.007092	0.007536	0.007314
3.400000	0.006687	0.007092	0.006890
3.500000	0.006316	0.006687	0.006501
3.600000	0.005974	0.006316	0.006145
3.700000	0.005660	0.005974	0.005817
3.800000	0.005370	0.005660	0.005515
3.900000	0.005101	0.005370	0.005235
4.000000	0.004852	0.005101	0.004977
4.100000	0.004621	0.004852	0.004737
4.200000	0.004406	0.004621	0.004514
4.300000	0.004206	0.004406	0.004306
4.400000	0.004019	0.004206	0.004113
4.500000	0.003844	0.004019	0.003932
4.600000	0.003681	0.003844	0.003763
4.700000	0.003527	0.003681	0.003604
4.800000	0.003383	0.003527	0.003455
4.900000	0.003248	0.003383	0.003316
5.000000	0.159155	0.003248	0.081202
